Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
elimination/toNull/vector,7.094245488933795e-3,6.985926141446071e-3,7.2348648735278825e-3,3.833171418050209e-4,3.013819048857454e-4,5.639266962383408e-4
elimination/toNull/streamly,1.5535858853843156e-2,1.5303019558636742e-2,1.5838961771453233e-2,7.035941289132703e-4,5.36604770584022e-4,8.924252225050569e-4
elimination/toNull/streaming,1.4555433566011359e-2,1.439555761799639e-2,1.4879887615128724e-2,6.001982142413209e-4,3.9759609086605503e-4,9.857093883043303e-4
elimination/toList/vector,0.10181891926170634,0.10062884958849205,0.10428734162361111,2.830367265863095e-3,1.2923172961228665e-3,4.738107776913244e-3
elimination/toList/streamly,0.1286904671070106,0.1261671276195767,0.1320037209212963,4.851626761993156e-3,3.277373376080638e-3,6.358806192957255e-3
elimination/toList/streaming,0.1593036601202381,0.15727833134940478,0.162464661525,3.6568801494773584e-3,1.9340717354754215e-3,5.808813683426664e-3
elimination/fold/vector,8.970816964261911e-3,8.862875920178561e-3,9.159107224733846e-3,4.3287357257695955e-4,2.5534154958464816e-4,7.238306298385503e-4
elimination/fold/streamly,1.755309435106302e-2,1.7310624800648617e-2,1.786907805026368e-2,7.049759968657329e-4,4.896602420577079e-4,1.0970893394124349e-3
elimination/fold/streaming,1.60574848729037e-2,1.5848508478648212e-2,1.6332859572630976e-2,6.257166768216161e-4,4.736681885518075e-4,7.989422274002368e-4
elimination/last/vector,7.381571798721483e-3,7.272364065198598e-3,7.474503854183091e-3,3.1228024104956807e-4,2.482118658597265e-4,3.7891260676064343e-4
elimination/last/streamly,1.7978414259540897e-2,1.7760325234796356e-2,1.8260108639995946e-2,6.395490084736643e-4,4.5428287249861293e-4,8.831163594593495e-4
elimination/last/streaming,1.4386330732464639e-2,1.4222859386672766e-2,1.4589814588885763e-2,4.788504683504701e-4,3.560746592257156e-4,6.271882976135548e-4
transformation/scan/vector,8.439519884529081e-3,8.322484519043615e-3,8.553844851414171e-3,3.3336620855519626e-4,2.615245833250649e-4,4.433041414291662e-4
transformation/scan/streamly,2.960114434592148e-2,2.909611153048501e-2,3.0209059319444443e-2,1.2463149958692676e-3,9.648307161949952e-4,1.5900987042219415e-3
transformation/scan/streaming,3.3713425311247665e-2,3.335999164918374e-2,3.427457881504827e-2,9.220560158917161e-4,6.317172899678499e-4,1.3506594193989341e-3
transformation/map/vector,6.972814233286865e-3,6.885884902697828e-3,7.0855299307407e-3,3.147049577997673e-4,2.2830378407806494e-4,3.9990241048623186e-4
transformation/map/streamly,2.4673020708256527e-2,2.4255486660085725e-2,2.5206941798400755e-2,1.0755879349327528e-3,8.416234913425323e-4,1.4385335356088132e-3
transformation/map/streaming,2.367734329475773e-2,2.3250757952402796e-2,2.414545791379097e-2,1.0363481780965918e-3,8.172297323318017e-4,1.3931795101996152e-3
transformation/mapM/vector,6.956734171276351e-3,6.868621617767402e-3,7.061314244214243e-3,2.923299349084265e-4,2.4215392195589414e-4,3.5328329558668834e-4
transformation/mapM/streamly,3.7157534991041116e-2,3.660648837474095e-2,3.806823481076097e-2,1.5360283131669716e-3,9.190548861569087e-4,2.4545179173925406e-3
transformation/mapM/streaming,3.866694053240761e-2,3.799927545924145e-2,3.925817714525726e-2,1.3785580575016278e-3,1.112891630834128e-3,1.8392053235581861e-3
transformation/concat/vector,2.9765130883150963e-2,2.9362275086016926e-2,3.0227826660326425e-2,1.0228795225942365e-3,7.186879185513682e-4,1.4846382983289548e-3
transformation/concat/streamly,3.040004314283659e-7,2.776835609681344e-7,3.9935496608656846e-7,3.3619205304347294e-7,1.383504401077815e-7,6.9871426549012e-7
transformation/concat/streaming,3.094311532700608e-7,2.842190247877785e-7,3.924364003949045e-7,3.1892481040123943e-7,1.4429170840149362e-7,6.795040880719174e-7
filtering/filter-even/vector,8.30423085582406e-3,8.193038748823184e-3,8.428798149242325e-3,3.449209283290763e-4,2.6887047659821304e-4,5.154392071208214e-4
filtering/filter-even/streamly,2.9964333919230115e-2,2.9568200763532265e-2,3.0405853378493268e-2,9.215833415579061e-4,6.95044102248307e-4,1.2045014036185494e-3
filtering/filter-even/streaming,2.692613552315337e-2,2.6559254772940726e-2,2.7279634114779593e-2,8.408327316924952e-4,6.402273965577543e-4,1.1537830309785852e-3
filtering/filter-all-out/vector,8.32074983267404e-3,8.193723844743175e-3,8.464161605964245e-3,4.0433197885516523e-4,3.1512377307398037e-4,5.361540416638644e-4
filtering/filter-all-out/streamly,1.6435935609503457e-2,1.6281254768610323e-2,1.6660080089232362e-2,5.179338568643696e-4,3.657595029852904e-4,8.011074083391534e-4
filtering/filter-all-out/streaming,1.511672582938921e-2,1.499602432710964e-2,1.5255510776781275e-2,3.512441302032823e-4,2.744273567285252e-4,4.5535928253625005e-4
filtering/filter-all-in/vector,8.300080216247663e-3,8.20273900734057e-3,8.396008846953806e-3,2.9493829124889145e-4,2.3463228033073773e-4,3.6616195182937237e-4
filtering/filter-all-in/streamly,2.580161894251872e-2,2.544925120635578e-2,2.6307642769105338e-2,9.902126325329625e-4,7.355927711574959e-4,1.4542665714806322e-3
filtering/filter-all-in/streaming,2.5460989552346748e-2,2.3944454790596863e-2,3.1313673363906884e-2,6.420907574271975e-3,5.389170980872196e-4,1.2802983731693291e-2
filtering/take-all/vector,7.554712094053887e-3,7.447748698208888e-3,7.6964069859496095e-3,3.812295630971772e-4,3.0657721713257623e-4,5.188356793898427e-4
filtering/take-all/streamly,2.2605431593960786e-2,2.232512896502684e-2,2.2893539044402528e-2,6.963695234269069e-4,5.560458739362316e-4,9.422837547603868e-4
filtering/take-all/streaming,2.240656206791497e-2,2.2115253914179605e-2,2.3007029252298118e-2,9.392218354759729e-4,5.692792891638718e-4,1.6960668955727366e-3
filtering/takeWhile-true/vector,7.902057324778923e-3,7.802513203184861e-3,8.028260150437378e-3,3.3092433296561734e-4,2.3830200993850553e-4,4.686920337925874e-4
filtering/takeWhile-true/streamly,2.3684560818956795e-2,2.3346452214895647e-2,2.427361567470202e-2,1.0967606701040003e-3,6.750172680371209e-4,1.6142784618872925e-3
filtering/takeWhile-true/streaming,2.2994956360238374e-2,2.2773562952187028e-2,2.3250993924362844e-2,5.602039975121314e-4,4.319631457083682e-4,7.799028287180862e-4
filtering/drop-all/vector,7.590638393550431e-3,7.4861445175908965e-3,7.77068545687903e-3,4.057635662976568e-4,2.8455901566306176e-4,5.896549876755785e-4
filtering/drop-all/streamly,1.6543127167242364e-2,1.636054860928866e-2,1.6882173668146396e-2,6.351949068573652e-4,3.616572784753374e-4,1.083969910927824e-3
filtering/drop-all/streaming,1.482513855803714e-2,1.4644690394185712e-2,1.502670476996737e-2,4.936733064771999e-4,4.030960587803336e-4,6.505256338678598e-4
filtering/dropWhile-true/vector,7.985640359864448e-3,7.87086488026683e-3,8.186802541176028e-3,4.6667688050450645e-4,2.6684231455176624e-4,7.863916148565587e-4
filtering/dropWhile-true/streamly,1.7391174070375954e-2,1.714282472374124e-2,1.7801799374999563e-2,7.56285327685396e-4,5.345426527858918e-4,1.169806953667058e-3
filtering/dropWhile-true/streaming,1.5854750991093305e-2,1.5722591913888584e-2,1.6008656075404634e-2,3.725710055988594e-4,2.997623164466669e-4,4.938065105457378e-4
zip/vector,7.009336809774375e-3,6.918703618030024e-3,7.0928492393608e-3,2.626583209641968e-4,2.2504934198859018e-4,3.2368419197669276e-4
zip/streamly,4.3001961046646504e-2,4.2304082061778776e-2,4.3768913541184735e-2,1.4748966350939512e-3,1.1643230316162368e-3,2.1337563589838974e-3
zip/streaming,3.183891538385486e-2,3.1305665841360034e-2,3.269987082572672e-2,1.4699878733804934e-3,8.122237709343391e-4,2.2474798370910303e-3
compose/mapM/vector,7.058952711967692e-3,6.94788088954212e-3,7.1875500517399465e-3,3.620441811124657e-4,2.803341036154593e-4,4.806080392910757e-4
compose/mapM/streamly,6.0535911749361536e-2,5.934949574476869e-2,6.189077518424908e-2,2.314241593025451e-3,1.7536527753028274e-3,3.3080717927129774e-3
compose/mapM/streaming,0.16695647992559523,0.1645903573125,0.17036400319642858,4.6794317727961825e-3,2.758088092129939e-3,6.801288358208042e-3
compose/map-with-all-in-filter/vector,8.372629178404188e-3,8.23239966339582e-3,8.532415896967235e-3,4.5295731341307125e-4,3.4386979002403194e-4,5.93627883906338e-4
compose/map-with-all-in-filter/streamly,0.1335277624175926,0.13183044036666666,0.13550619638425926,3.0875724678161567e-3,2.0227280113052984e-3,4.376001246056009e-3
compose/map-with-all-in-filter/streaming,9.572398953408731e-2,9.400119201444444e-2,9.743897824226191e-2,2.971406943346079e-3,2.218091435863518e-3,4.08689675909988e-3
compose/all-in-filters/vector,8.347156601212165e-3,8.243694355626385e-3,8.466610406188152e-3,3.4335342225640954e-4,2.630682388336908e-4,4.616621605681032e-4
compose/all-in-filters/streamly,5.7421390634228804e-2,5.6078092408445405e-2,5.999332159860139e-2,3.2109796738521274e-3,1.192209413054052e-3,4.410418898298739e-3
compose/all-in-filters/streaming,4.8658251369222645e-2,4.7970557005676664e-2,4.98548077533524e-2,1.7508906076776347e-3,9.825165700676152e-4,2.800199685625015e-3
compose/all-out-filters/vector,8.281670328372731e-3,8.167489800469652e-3,8.443050815961325e-3,4.0084778472088925e-4,3.0392603317756984e-4,5.650898560666654e-4
compose/all-out-filters/streamly,1.6500459123802512e-2,1.6271885226822193e-2,1.6764239383638458e-2,6.150915134948359e-4,4.389226314328499e-4,9.023092323339965e-4
compose/all-out-filters/streaming,1.5058465694240424e-2,1.4862890172989624e-2,1.526155000574456e-2,5.282010673746976e-4,4.4472626658270605e-4,6.672976310251728e-4
